Date,Category,Net worth (% of Total),Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1996:Q4,Bottom 50%,4,8.1,15.4,23.3,1.5,4.6,1.9,5.3,32.5,26,52.6,21.7
1997:Q1,Top 1%,27.5,24.3,11.2,13.4,47,9.5,48.4,32.2,4.9,4.8,1.2,23.2
1997:Q1,Next 9%,34.3,31.6,26.3,21.4,35.2,37.7,33,31.8,15.9,17.8,8,27
1997:Q1,Next 40%,34.1,36,47.1,42,16.3,48.2,16.6,30.7,47.4,52.3,37.1,30.1
1997:Q1,Bottom 50%,4.1,8.1,15.4,23.2,1.5,4.6,2,5.3,31.8,25.1,53.6,19.7
1997:Q2,Top 1%,28.1,24.9,11.2,13.8,48.1,9.8,50,31,4.9,4.8,1,23.1
1997:Q2,Next 9%,34.1,31.7,26.2,21,34.7,37.6,32.7,32.2,16.4,18.1,8.9,28.6
1997:Q2,Next 40%,33.8,35.6,47.3,42.1,15.7,47.9,15.4,31.4,46.9,51.9,36.5,30.7
1997:Q2,Bottom 50%,4,7.9,15.3,23,1.4,4.6,1.9,5.3,31.8,25.2,53.6,17.6
1997:Q3,Top 1%,28.3,25.1,11,13.7,48.4,10,50.2,30.7,4.8,4.8,0.9,22.8
1997:Q3,Next 9%,34.1,31.7,26.4,21.1,34.5,37.5,32.7,32.3,16.9,18.4,9.3,32.3
1997:Q3,Next 40%,33.6,35.4,47,42.3,15.7,47.9,15.2,31.7,46.2,51,36.3,30.3
1997:Q3,Bottom 50%,3.9,7.8,15.7,22.9,1.4,4.6,1.9,5.3,32,25.8,53.4,14.6
1997:Q4,Top 1%,28.3,25.1,11,13.5,48.1,9.8,49.7,31,4.9,4.8,1,23.4
1997:Q4,Next 9%,34.3,31.9,27,21.2,34.5,37.7,32.9,31.9,17,18.5,9.3,31.5
1997:Q4,Next 40%,33.4,35.3,46.5,42.4,15.9,47.9,15.5,31.8,46.9,51.7,36.7,31.7
1997:Q4,Bottom 50%,4,7.8,15.5,22.9,1.4,4.6,1.9,5.3,31.3,25,53.1,13.5
1998:Q1,Top 1%,29,25.8,10.8,13.9,49.1,10,51.5,30.3,4.8,4.7,0.6,23.4
1998:Q1,Next 9%,34.2,31.9,27.2,20.6,34.1,37.8,32.2,32.6,17.7,19,10.4,32.2
1998:Q1,Next 40%,33,34.7,46.4,42.5,15.5,47.7,14.5,32,45.7,50.6,34.9,32.6
1998:Q1,Bottom 50%,3.9,7.6,15.6,22.9,1.4,4.5,1.8,5.2,31.7,25.6,54.1,11.8
1998:Q2,Top 1%,28.9,25.7,11,13.6,48.9,10,50.8,30.5,4.8,4.7,0.7,23.5
1998:Q2,Next 9%,34.2,32,27.2,20.8,34,38,32.5,32.6,17.8,19.1,10.3,33.6
1998:Q2,Next 40%,33.1,34.9,46.9,42.7,15.7,47.6,14.8,31.7,45.9,50.6,35.4,33.2
1998:Q2,Bottom 50%,3.7,7.4,15,22.9,1.4,4.5,1.9,5.1,31.5,25.5,53.5,9.7
1998:Q3,Top 1%,27.9,24.7,10.7,11.9,47.1,9.7,46.9,32.9,5,4.7,1.2,24.9
1998:Q3,Next 9%,34.2,31.9,26.8,22.5,34.5,38,33.8,31.3,18,19.8,9.5,32.1
1998:Q3,Next 40%,34.3,35.7,47.4,43.1,17,47.8,17,30.8,44.4,48.1,36.3,34.9
1998:Q3,Bottom 50%,3.6,7.6,15.1,22.5,1.4,4.4,2.3,5,32.6,27.3,53.1,8.2
1998:Q4,Top 1%,28.9,25.7,11.2,14,48.4,9.7,52.4,30.1,4.9,4.8,0.7,24.2
1998:Q4,Next 9%,34.2,32,27.2,20.3,34,38.3,31.4,32.6,17.8,19.2,10.5,32.6
1998:Q4,Next 40%,33.3,35,46.8,42.7,16.2,47.7,14.5,32.2,45.8,50.3,35.8,33.8
1998:Q4,Bottom 50%,3.6,7.4,14.8,22.9,1.4,4.3,1.7,5.1,31.5,25.7,53,9.5
1999:Q1,Top 1%,28.7,25.4,11.3,14.7,47.9,9.7,53.4,29.3,4.9,4.9,0.4,24.1
1999:Q1,Next 9%,34.3,32.1,27.1,19.8,34.2,38.5,31.2,33.4,17.9,19.1,10.9,33.8
1999:Q1,Next 40%,33.4,35.1,46.6,42.7,16.5,47.5,13.8,32.2,45.8,50.7,35,32
1999:Q1,Bottom 50%,3.6,7.4,15,22.8,1.4,4.3,1.6,5.1,31.4,25.4,53.6,10
1999:Q2,Top 1%,29,25.7,11.5,15.7,48.3,9.6,54.9,27.9,4.8,4.9,0.3,22.1
1999:Q2,Next 9%,34.5,32.2,27.3,18.8,34.1,38.7,30.7,34.2,18,18.7,11.3,37.5
1999:Q2,Next 40%,32.9,34.7,46.3,42.5,16.2,47.4,13,32.7,46.5,51.9,34.9,30.1
1999:Q2,Bottom 50%,3.7,7.4,15,23.1,1.4,4.3,1.4,5.2,30.7,24.5,53.6,10.3
1999:Q3,Top 1%,28.6,25.3,11.5,15.2,47.4,9.6,53.1,28.9,4.8,4.9,0.4,22.3
